Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0682072609408734,0.0327421649096228,-0.00132897511700893,0,0,0,0.138285269027674,8.05760084050772E-05,4.32059365580448E-06,-3.16976043883762E-06,0.000331047815490767,1.90728480939344E-07,0.000376533313619492,0,0,0,0,0,0,package://Full Assem/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Full Assem/meshes/base_link.STL,,Body sub-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Neck,0.0159848383855072,-0.00440158914326229,0.0144106185244699,0,0,0,0.0146347986521633,5.5910291335358E-06,-5.21308766568887E-08,-8.67059067321465E-08,4.31175958630068E-06,-3.94831935886997E-07,2.97148567354004E-06,0,0,0,0,0,0,package://Full Assem/meshes/Neck.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Assem/meshes/Neck.STL,,Hinges-2,Origin_BodyToNeck,Axis_BodyToNeck,BodyToNeck,revolute,0.0034205,-0.024743,0.01898,0.23873,-1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
Head,-0.00449102933159544,1.24108210514118E-09,-0.0391635016568046,0,0,0,0.135970457419856,5.61044053242446E-05,-5.67187199183633E-13,-9.86200043819425E-06,6.51087733988032E-05,-2.87237746980285E-12,7.30786343533626E-05,0,0,0,0,0,0,package://Full Assem/meshes/Head.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Full Assem/meshes/Head.STL,,HEadCombo-1,Origin_NeckToHead,Axis_NeckToHead,NeckToHead,revolute,0.014034,0,0.032614,-3.1284,0,1.5708,Neck,1,0,0,0,0,0,0,,,,,,,,
Tail,-0.017797164130695,-0.00440158914327523,0.0144106185245187,0,0,0,0.0146347986519339,5.59102913350743E-06,-5.21308766546578E-08,-8.67059067343948E-08,4.31175958628995E-06,-3.94831935897134E-07,2.9714856734835E-06,0,0,0,0,0,0,package://Full Assem/meshes/Tail.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Assem/meshes/Tail.STL,,Hinges-1,Origin_BodyToTail,Axis_BodyToTail,BodyToTail,revolute,-0.13474,-0.021568,0.012757,2.9243,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
Tip,-0.00825498895581935,0.0635785261325288,1.77360421054623E-09,0,0,0,0.0399994779873905,5.8244001469674E-05,8.39480202981952E-06,-1.7548767237701E-11,6.82855900938092E-06,5.00997775122869E-11,6.31554981910278E-05,0,0,0,0,0,0,package://Full Assem/meshes/Tip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Assem/meshes/Tip.STL,,Tail-1,Origin_TailToTip,Axis_TailToTip,TailToTip,revolute,-0.019749,0,0.032614,1.3867,0,1.5708,Tail,1,0,0,0,0,0,0,,,,,,,,
RF Shoulder,-0.000474316425460197,0.00235417848628236,-0.0209875218683509,0,0,0,0.0125618318177673,4.15150601191614E-06,-5.36807260602816E-08,-1.38494632923192E-08,2.06353471199157E-06,7.17133368148472E-08,4.04522868608802E-06,0,0,0,0,0,0,package://Full Assem/meshes/RF Shoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Assem/meshes/RF Shoulder.STL,,Cat_Shoulder_mirror_2-1,Origin_BodyToRFShoulder,Axis_BodyToRFShoulder,BodyToRFShoulder,revolute,0.013955,-0.024171,0.069907,1.3459E-05,1.5518,2.0944,base_link,0,1,0,0,0,0,0,,,,,,,,
RF Leg,0.00267998316901047,-0.0325731607359263,-0.00139551829343013,0,0,0,0.011736909060324,4.39673295506609E-06,-4.6645322749739E-07,-3.24844301464191E-08,2.55919880714945E-06,-2.17824236291821E-07,6.40992858422596E-06,0,0,0,0,0,0,package://Full Assem/meshes/RF Leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Assem/meshes/RF Leg.STL,,Cat_Leg_mirror_2-1,Origin_RFShoulderToRFLeg,Axis_RFShoulderToRFLeg,RFShoulderToRFLeg,revolute,0,0.010247,-0.028575,0.89409,0,-3.1416,RF Shoulder,1,0,0,0,0,0,0,,,,,,,,
RF Foot,0.00238146619322768,0.0269979393582675,0.00830002907315935,0,0,0,0.00974966123277393,3.33101806976041E-06,2.46573083702906E-07,1.09854079929438E-07,2.23261520627661E-06,-1.22069244960045E-06,3.54922433209083E-06,0,0,0,0,0,0,package://Full Assem/meshes/RF Foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Assem/meshes/RF Foot.STL,,Cat_Foot_Mirror_2-1,Origin_RFLegToRFFoot,Axis_RFLegToRFFoot,RFLegToRFFoot,revolute,0,-0.0508,0,-2.4257,0,0,RF Leg,1,0,0,0,0,0,0,,,,,,,,
LF Shoulder,-0.000474316771903851,-0.00235416333155274,-0.0209875229060626,0,0,0,0.0125618282681373,4.15150509639283E-06,5.36808969307835E-08,-1.38494139264449E-08,2.06353446837834E-06,-7.17138703128221E-08,4.04522783865605E-06,0,0,0,0,0,0,package://Full Assem/meshes/LF Shoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Assem/meshes/LF Shoulder.STL,,Cat_Shoulder_1-1,Origin_BodyToLFShoulder,Axis_BodyToLFShoulder,BodyToLFShoulder,revolute,0.013955,-0.024171,-0.004388,0,-1.5325,-1.0472,base_link,0,1,0,0,0,0,0,,,,,,,,
LF Leg,-0.00268001207291033,-0.0325731576328979,-0.00139550613587137,0,0,0,0.0117369306324913,4.39673409877325E-06,4.66453656885344E-07,3.24883189243215E-08,2.55920653262038E-06,-2.17824406677191E-07,6.40993509791632E-06,0,0,0,0,0,0,package://Full Assem/meshes/LF Leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Assem/meshes/LF Leg.STL,,Cat_Leg_1-1,Origin_LFShoulderToLFLeg,Axis_LFShoulderToLFLeg,LFShoulderToLFLeg,revolute,0,-0.010247,-0.028575,0.95691,0,0,LF Shoulder,1,0,0,0,0,0,0,,,,,,,,
